codmicro,nomemicro,longitude,latitude
15015,Altamira,-53.30170733732794,-5.653646124585426
15016,Tucuruí,-49.827519904347255,-4.591160355405251
15017,Paragominas,-48.00964641793822,-3.8367082888114505
15018,São Félix do Xingu,-51.95653835777543,-7.4410886459141805
15019,Parauapebas,-50.1796218755816,-6.392182274402748
15020,Marabá,-49.66830311056766,-5.64073691860452
15021,Redenção,-49.58715618316257,-7.094933508182382
15022,Conceição do Araguaia,-50.193641806376114,-8.70154182150554
16001,Oiapoque,-51.71113413732279,2.8345446181276883
16002,Amapá,-50.87674267398634,1.580296856603398
16003,Macapá,-51.68501333074668,0.988936707006077
16004,Mazagão,-52.85496334703099,0.6556882780916372
17001,Bico do Papagaio,-47.89806030686381,-6.037982055721424
17002,Araguaína,-48.450017566183135,-7.347005553666611
17003,Miracema do Tocantins,-49.00280019940266,-9.119396510125723
17004,Rio Formoso,-49.832676598931,-11.342144723099608
17005,Gurupi,-48.79212184288193,-12.066231110512414
17006,Porto Nacional,-48.14214479415437,-10.105742432151404
17007,Jalapão,-47.171291851159694,-9.521497719303238
17008,Dianópolis,-47.34484620982779,-12.144744283082174
21001,Litoral Ocidental Maranhense,-44.77205843458677,-2.1512847911120057
21002,Aglomeração Urbana de São Luís,-44.214183050355714,-2.5944532386453685
21003,Rosário,-44.02957381762475,-2.926852100828216
21004,Lençois Maranhenses,-43.07405197016953,-2.732180992984396
21005,Baixada Maranhenses,-45.10131574480533,-3.0325241279187165
21006,Itapecuru Mirim,-44.100428141934586,-3.612201966023739
21007,Gurupi,-46.170174546142164,-2.4838602387728463
21008,Pindaré,-45.99931140519029,-3.95537518059337
21009,Imperatriz,-47.17076839946967,-5.22039555315479
21010,Médio Mearim,-44.78227015949117,-4.37858033748994
21011,Alto Mearim e Grajaú,-45.63865265821497,-5.774324022246686
21012,Presidente Dutra,-44.23756583394621,-5.330775975041161
21013,Baixo Parnaíba Maranhense,-42.49275096301401,-3.178497333521796
21014,Chapadinha,-43.27204337859269,-3.6287137517036796
21015,Codó,-44.00426160787309,-4.388676675285225
21016,Coelho Neto,-43.268492164238204,-4.369284458207109
21017,Caxias,-43.40517573548179,-5.25904132545757
21018,Chapadas do Alto Itapecuru,-44.13536096605844,-6.4018126249900265
21019,Porto Franco,-47.125159414859375,-6.939336793044806
21020,Gerais de Balsas,-46.31972435985888,-8.4852686727211
21021,Chapadas das Mangabeiras,-45.38354971830688,-7.159389345189392
22001,Baixo Parnaíba Piauiense,-42.27499991534691,-4.028831832367372
22002,Litoral Piauiense,-41.61801523454196,-3.5288181706644823
22003,Teresina,-42.589054184174174,-5.097030705983317
22004,Campo Maior,-41.598734817228944,-5.191947714367783
