population,micro_code,micro_name,longitude,latitude
148583.0,35019,Lins,-49.75940249456271,-21.67049411718396
522632.0,35020,Bauru,-49.21067244393718,-22.262808359957067
315473.0,35021,Jaú,-48.62025719150196,-22.27687656504685
161284.0,35022,Avaré,-48.93245527777449,-23.196376335912596
183633.0,35023,Botucatu,-48.36327396075948,-22.88511215604456
454811.0,35024,Araraquara,-48.52390598762916,-21.70332268726853
277636.0,35025,São Carlos,-47.88899886816064,-21.96672403552124
221680.0,35026,Rio Claro,-47.88902532399919,-22.318007186574857
519378.0,35027,Limeira,-47.35580093885184,-22.39165974674528
501219.0,35028,Piracicaba,-47.76969106865629,-22.769342523725857
168968.0,35029,Pirassununga,-47.278391733072624,-21.9645210122407
399885.0,35030,São João da Boa Vista,-46.9115300900703,-21.721042872041394
347966.0,35031,Moji Mirim,-46.97015148492444,-22.38379836450356
2257640.0,35032,Campinas,-47.16620791582141,-22.87675306941161
163928.0,35033,Amparo,-46.63246941911519,-22.662209634343085
108053.0,35034,Dracena,-51.640696563710215,-21.402401890100435
151211.0,35035,Adamantina,-51.047022376421445,-21.651118899876604
550832.0,35036,Presidente Prudente,-51.731359095587024,-22.203465534692
109273.0,35037,Tupã,-50.471446982879456,-21.914189217721297
314123.0,35038,Marília,-49.9560078750321,-22.23509124178714
249792.0,35039,Assis,-50.545642700452376,-22.59484058495294
274456.0,35040,Ourinhos,-49.578423445575545,-22.988939186642863
235566.0,35041,Itapeva,-49.04511542402905,-23.86657868850473
167321.0,35042,Itapetininga,-48.23509527259312,-23.539481119161078
215580.0,35043,Tatuí,-47.91020290041761,-23.215308632265447
142484.0,35044,Capão Bonito,-48.647139005296616,-24.32458991244161
181912.0,35045,Piedade,-47.585397210059405,-23.87046993198105
1157340.0,35046,Sorocaba,-47.41905689559853,-23.43574931381035
540515.0,35047,Jundiaí,-46.93398826131785,-23.17783374403073
428659.0,35048,Bragança Paulista,-46.5122429965808,-23.023965405831927
65715.0,35049,Campos do Jordão,-45.6822154457887,-22.790916321221687
1257394.0,35050,São José dos Campos,-45.761303561812085,-23.09517439826445
378282.0,35051,Guaratinguetá,-45.08902977399103,-22.710562981960283
25670.0,35052,Bananal,-44.56928659739285,-22.724041313716537
70874.0,35053,Paraibuna - Paraitinga,-45.284759087893,-23.250143521694856
233271.0,35054,Caraguatatuba,-45.31343415656158,-23.605392864812544
246320.0,35055,Registro,-47.88606912326452,-24.571952554496328
189047.0,35056,Itanhaém,-47.004834329096994,-24.173076332892062
1638611.0,35057,Osasco,-46.90575106760306,-23.453230144173617
386951.0,35058,Franco da Rocha,-46.6421816826856,-23.32229895329601
1212081.0,35059,Guarulhos,-46.337503475948665,-23.346554704842056
836486.0,35060,Itapecerica da Serra,-46.94927549082521,-23.819377844737478
